id,headline,description,tag,created_by,likes,is_featured,yes_count,no_count,category_id,maybe_count
1,"尖閣は日本の領土か？","尖閣諸島の領有権を巡る日中間の争いについて。日本は1895年から実効支配し、固有の領土と主張。中国は歴史的権利を主張し対立が続く。","地理",1,6,0,0,0,10,0
2,"公職選挙法は改正すべき","SNSやインターネットの普及に伴う選挙運動のデジタル化対応や、投票率向上のための制度改革など、現代に即した法改正の是非を問う。","政治",2,12,0,0,0,13,0
3,"万博は必要か？","2025年大阪・関西万博の開催意義と経済効果。巨額の開催費用や施設の後利用問題、コロナ後の国際イベントとしての価値を検討。","政治",1,33,1,0,0,13,0
5,"国民玉木代表は代表を辞任すべき？","国民民主党の党勢低迷や路線対立、連合との関係など、玉木代表の政党運営と進退を問う議論。","政治",1,18,1,0,0,13,0
6,"N党立花氏は刑事告発されるべき","NHKから国民を守る党代表の立花孝志氏の言動や活動に関する法的責任と、政治家としての適格性を問う。","政治",1,5,0,0,0,13,0
8,"石丸氏新党の都議選出馬は期待できる？","元都議会議員の石丸氏が立ち上げた新党の都議選での可能性と、東京都政への影響を考察。","政治",1,5,0,0,0,13,0
10,"泉房穂はまた首長になるべきか？","前明石市長の泉房穂氏の政治手腕と実績、新たな首長就任の是非を検討する議論。","政治",1,5,0,0,0,13,0
12,"前原さんの維新共同代表就任に賛成？","前原誠司氏の日本維新の会共同代表就任をめぐる議論。立憲民主党での経験や政策理念との整合性、維新の党勢拡大戦略への影響を考察。","政治",1,9,0,0,0,13,0
14,"石破政権は退陣すべき？","石破茂氏の政権運営と政策実行力、支持率動向や党内外からの評価、政権交代のタイミングの適切性を検討。","政治",1,8,0,0,0,13,0
16,"韓国の戒厳令は愚策？","韓国検察の尹錫悦大統領に対する捜査をめぐり、戒厳令の可能性が示唆された問題。民主主義への影響と外交関係への波及を考察。","外交",1,14,1,0,0,14,0
17,"選択的夫婦別姓に賛成？","結婚後の姓の選択を可能にする制度導入の是非。個人の権利と伝統的な家族制度の在り方、社会的影響を検討。","社会",1,5,1,0,0,8,0
18,"日産自動車は復活する？","電気自動車開発の遅れや経営課題を抱える日産の今後。EVシフトへの対応と企業としての回復可能性を議論。","ビジネス",2,4,0,0,0,3,0
19,"UFOは存在する？","米政府の未確認航空現象（UAP）に関する公式発表を受け、UFOの実在性と科学的な検証について考察。","社会",1,6,1,0,0,8,0
20,"日経平均は来年暴落する？","専門家による日経平均株価の大幅下落予測について、その可能性と経済への影響を検討。","経済",,2,0,0,0,11,0
21,"フジテレビの放送権は剥奪すべき","報道姿勢や番組内容への批判から、放送免許の是非を問う議論。放送の公平性と社会的責任を考察。","社会",,2,0,0,0,8,0
22,"斎藤知事は公選法に違反してる？","公職選挙法の規定と現代のSNS時代における選挙活動の在り方、法改正の必要性を検討。","政治",,2,0,0,0,13,0
23,"紙の保険証は廃止すべき？","マイナンバーカードへの一本化に向けた健康保険証のデジタル化。利便性向上とセキュリティ、高齢者対応などの課題を議論。","政治",,4,0,0,0,13,0
24,"外国人に対する生活保護は必要？","在留外国人への生活保護適用の是非。財政負担、人道的配慮、他国との制度比較、不正受給防止など多角的な検討。","社会",,2,0,0,0,8,0
25,"道州制に移行すべき？","現行の都道府県制から広域行政制度への移行議論。行政効率化、地方分権、財政基盤強化、人口減少への対応など、制度改革の必要性を検討。","社会",,2,0,0,0,8,0
26,"少子高齢化に移民受け入れは必要？","深刻化する人口減少と労働力不足への対応策として、外国人労働者受け入れの拡大を検討。社会統合、言語・文化の課題、経済効果を議論。","社会",,3,1,0,0,8,0
27,"ふるさと納税は有効か？","地方創生策としてのふるさと納税制度の効果検証。返礼品競争、税収の地域間格差、制度の本来目的との乖離などを考察。","社会",,2,0,0,0,8,0
28,"紅白歌合戦は必要？","NHK紅白歌合戦の存続意義。視聴率低下、若年層の離れ、選考基準の妥当性、公共放送の役割など、現代における価値を検討。","社会",,1,0,0,0,8,0
29,"厚生年金106万円の壁撤廃に納得できる？","パートタイム労働者の厚生年金加入制限（106万円の壁）撤廃の影響。企業負担、労働時間調整、社会保障制度の在り方を議論。","税金",,1,0,0,0,2,0
30,"最低時給1500円は妥当か？","最低賃金引き上げによる労働者の生活保障と、企業経営への影響のバランスを検討。","ビジネス",,0,1,0,0,3,0
31,"アメリカはグリーンランドを併合すべき？","アメリカによるグリーンランド購入・併合の是非。豊富な天然資源や北極圏の戦略的重要性、デンマークとの外交関係、先住民の権利など、地政学的な観点から議論が続く。","国際",,0,1,0,0,1,0
32,"USスチールは最終的に日本製鉄に買収されるか","米国の製鉄大手USスチールの日本製鉄による買収案。業界再編、国際競争力、両国の経済・安全保障への影響を考察。","ビジネス",,0,0,0,0,3,0
33,"トランプ大統領はグリーンランドを併合するか","トランプ大統領による領土取得提案。北極圏の資源権益、軍事戦略的価値、デンマークとの外交関係、先住民の権利など多面的な課題を含む。","地域",,0,0,0,0,10,0
39,"新NISAは若者にオススメできる？","このイシューの概要は自動生成中です",,,0,0,0,0,11,0
